"unique","age","lactation","disease","presence"
"K101-P138",6.9,"4","mf",0
"K101-P138",6.9,"4","da",0
"K10-P51",6.2,"5","mf",0
"K10-P51",6.2,"5","da",0
"K110-P704",3.2,"2","mf",0
"K110-P704",3.2,"2","da",0
"K113-P620",2.4,"1","mf",0
"K113-P620",2.4,"1","da",0
"K118-P159",2,"1","mf",0
"K118-P159",2,"1","da",0
"K121-P102",2.2,"1","mf",0
"K121-P102",2.2,"1","da",0
"K125-P178",2.1,"1","mf",0
"K125-P178",2.1,"1","da",0
"K128-P134",4.9,"3","mf",0
"K128-P134",4.9,"3","da",0
"K12-P567",2.3,"1","mf",0
"K12-P567",2.3,"1","da",1
"K12-P894",2,"1","mf",0
"K12-P894",2,"1","da",0
"K130-P637",4.1,"3","mf",0
"K130-P637",4.1,"3","da",0
"K131-P166",2.4,"1","mf",0
"K131-P166",2.4,"1","da",0
"K136-P177",4.1,"2","mf",0
"K136-P177",4.1,"2","da",0
"K136-P180",3.5,"2","mf",0
"K136-P180",3.5,"2","da",0
"K13-P490",2.1,"1","mf",0
"K13-P490",2.1,"1","da",0
"K141-P624",2.4,"1","mf",0
"K141-P624",2.4,"1","da",0
"K142-P397",3.2,"2","mf",1
"K142-P397",3.2,"2","da",1
"K143-P447",3.2,"2","mf",0
"K143-P447",3.2,"2","da",1
"K145-P289",8.3,"6","mf",1
"K145-P289",8.3,"6","da",0
"K148-P129",4,"3","mf",0
"K148-P129",4,"3","da",0
"K148-P187",2,"1","mf",0
"K148-P187",2,"1","da",0
"K155-P225",2.7,"1","mf",0
"K155-P225",2.7,"1","da",0
"K157-P487",2.4,"1","mf",0
"K157-P487",2.4,"1","da",0
"K166-P305",2.3,"1","mf",0
"K166-P305",2.3,"1","da",0
"K168-P65",2,"1","mf",0
"K168-P65",2,"1","da",0
"K16-P265",5.2,"4","mf",0
"K16-P265",5.2,"4","da",1
"K16-P399",2,"1","mf",0
"K16-P399",2,"1","da",1
"K170-P847",4,"2","mf",0
"K170-P847",4,"2","da",0
"K172-P173",6.8,"5","mf",0
"K172-P173",6.8,"5","da",0
"K172-P241",3.8,"3","mf",0
"K172-P241",3.8,"3","da",0
"K174-P280",5,"3","mf",0
"K174-P280",5,"3","da",0
"K177-P202",8.5,"6","mf",1
"K177-P202",8.5,"6","da",0
"K177-P279",3.4,"2","mf",0
"K177-P279",3.4,"2","da",0
"K17-P318",2.2,"1","mf",0
"K17-P318",2.2,"1","da",1
"K181-P310",4.3,"3","mf",1
"K181-P310",4.3,"3","da",0
"K181-P373",7,"5","mf",1
"K181-P373",7,"5","da",0
"K182-P220",4.6,"3","mf",0
"K182-P220",4.6,"3","da",0
"K182-P264",2.3,"1","mf",0
"K182-P264",2.3,"1","da",0
"K191-P123",4.4,"3","mf",0
"K191-P123",4.4,"3","da",0
"K193-P65",5.3,"3","mf",0
"K193-P65",5.3,"3","da",0
"K194-P308",4.9,"3","mf",0
"K194-P308",4.9,"3","da",1
"K195-P466",2,"1","mf",0
"K195-P466",2,"1","da",0
"K198-P264",4.1,"2","mf",0
"K198-P264",4.1,"2","da",0
"K199-P292",3.4,"2","mf",0
"K199-P292",3.4,"2","da",0
