"unique","milk.1","milk.2","milk.3","milk.4","milk.5","milk.6","milk.7","milk.8","milk.9","milk.10","dim.1","dim.2","dim.3","dim.4","dim.5","dim.6","dim.7","dim.8","dim.9","dim.10"
"K274-P106",51.4,60.9,47.1,35.4,42.6,33.3,33.7,34.1,28.2,21.1,22,50,78,113,141,183,204,232,266,295
"K148-P187",17.9,29.5,25.1,27.2,30.2,27.6,25,29.3,18.7,18.9,6,32,67,95,124,151,180,208,236,263
"K613-P87",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K295-P721",45.4,41.9,NA,NA,NA,NA,NA,NA,NA,NA,26,63,NA,NA,NA,NA,NA,NA,NA,NA
"K522-P374",39.8,39,35,37.8,30.2,24.1,33.4,24.5,24.7,9.6,16,44,78,105,133,170,198,224,254,288
"K66-P559",44,37,35.4,41.9,38.1,34.7,31.1,28.6,27.7,27.5,39,66,100,142,182,219,254,288,332,359
"K910-P149",28,30.5,15.9,25.9,31.8,25.1,18.3,19.9,NA,NA,26,54,104,147,188,217,323,371,NA,NA
"K584-P193",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K81-P289",38.2,31.2,34.9,33.2,30.8,29.8,18.9,11.9,11.8,8.2,12,40,68,103,131,164,194,222,250,278
"K136-P177",23.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K614-P81",40.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K37-P1163",37.2,35.7,34.8,29.4,23,21.2,12.4,NA,NA,NA,44,79,108,135,179,212,247,NA,NA,NA
"K590-P153",25.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K567-P267",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K644-P640",41.8,45,43,40.3,38.6,34.2,26.4,26.8,21.4,15,17,51,80,107,142,172,198,234,263,298
"K369-P1006",31.2,32,26,NA,NA,NA,NA,NA,NA,NA,34,81,123,NA,NA,NA,NA,NA,NA,NA
"K669-P194",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K42-P294",29.5,33.8,33.4,25.4,30.4,33.5,31.1,28,27.9,32.7,24,58,85,109,149,183,207,233,262,289
"K980-P91",42.4,35,28.9,37.6,36.4,30.8,32,24.3,25.5,NA,39,59,95,130,158,185,215,249,277,NA
"K198-P264",32,31.8,32.8,26,26.2,23.2,20.8,19.6,14.6,14,32,52,80,115,146,178,205,235,263,290
"K856-P74",27.6,25.3,21.9,17.3,19.1,17.2,17.9,16.1,15.9,14.1,23,58,86,114,137,170,206,240,268,295
"K667-P140",41.4,42.2,42.2,36.5,29.4,27.6,24.3,18.7,NA,NA,20,50,84,112,176,210,239,265,NA,NA
"K488-P153",39.6,38.9,42,35.4,35.4,31.8,28.6,26.8,25.3,17.2,24,55,91,130,151,179,207,235,265,292
"K811-P259",31,29.2,33.8,24.2,26.2,23.2,18.2,20,16,NA,32,68,90,122,186,217,249,307,371,NA
"K638-P229",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K970-P424",31.3,21.6,32.4,30,28,24.2,18.5,10.1,NA,NA,46,74,105,147,180,214,249,286,NA,NA
"K408-P340",34.2,33.5,40.1,34.9,36,29.6,24.8,26.4,18.6,15.7,12,46,76,109,145,172,200,235,263,291
"K470-P157",29.4,28.4,27,32.2,29.8,28.6,27.6,26,23.6,15.2,51,86,114,149,177,203,239,266,296,331
"K232-P681",24.6,18.6,21.2,18.6,NA,NA,NA,NA,NA,NA,194,232,259,288,NA,NA,NA,NA,NA,NA
"K993-P495",33.2,38,42.4,41,43.4,43.2,34.2,33.2,35.6,NA,15,50,84,120,148,176,232,268,296,NA
"K810-P64",32.2,49.6,43.4,41.9,34.4,33.4,30.8,30.4,33.2,33.6,6,38,67,94,129,157,196,219,252,276
"K335-P259",27.9,23.9,23.9,20.7,13.9,NA,NA,NA,NA,NA,17,47,80,108,136,NA,NA,NA,NA,NA
"K396-P1521",37.7,39.7,31.1,31.5,24.7,31.4,22.5,23.5,23,22.4,7,51,100,119,160,202,245,281,321,363
"K26-P605",19.1,29.8,31.8,33.7,32,33.8,26,24.8,16.9,17.8,27,55,83,118,153,181,209,237,265,300
"K962-P382",20.4,10.6,NA,NA,NA,NA,NA,NA,NA,NA,203,237,NA,NA,NA,NA,NA,NA,NA,NA
"K658-P937",18,20.2,24,21.4,19.2,NA,NA,NA,NA,NA,196,224,252,287,315,NA,NA,NA,NA,NA
"K530-P364",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
